x_m,y_m,z_m,r,g,b
3.080488,-3.982761,7.143000,177,183,196
3.080719,-3.968822,7.118001,178,184,197
3.091731,-3.968822,7.118001,181,187,200
3.091410,-3.954325,7.092000,185,191,204
3.102382,-3.954325,7.092000,190,196,209
3.113354,-3.954325,7.092000,182,188,201
2.507289,-2.984701,5.353000,180,186,199
2.501942,-2.968532,5.324000,180,186,199
2.490376,-2.945113,5.282000,180,186,199
2.485303,-2.929501,5.254000,180,186,199
2.460686,-2.891029,5.185000,180,186,199
2.462518,-2.883780,5.172000,180,186,199
2.463832,-2.875974,5.158000,181,185,199
3.762068,-4.026252,7.221000,175,181,194
3.746068,-3.997258,7.169000,175,181,194
3.757159,-3.997258,7.169000,175,181,194
3.754583,-3.982761,7.143000,176,182,195
3.765634,-3.982761,7.143000,176,181,197
3.763467,-3.968822,7.118001,176,181,197
3.774478,-3.968822,7.118001,183,186,203
3.771663,-3.954325,7.092000,174,177,194
3.782635,-3.954325,7.092000,150,153,170
3.807515,-3.968822,7.118001,147,150,167
3.818527,-3.968822,7.118001,176,179,196
3.815551,-3.954325,7.092000,185,188,205
3.826523,-3.954325,7.092000,179,182,199
3.851563,-3.968822,7.118001,178,181,198
3.862575,-3.968822,7.118001,177,182,198
3.873587,-3.968822,7.118001,175,180,196
3.870410,-3.954325,7.092000,175,180,196
3.881382,-3.954325,7.092000,175,180,196
3.892354,-3.954325,7.092000,174,179,197
3.917636,-3.968822,7.118001,173,178,196
3.928648,-3.968822,7.118001,169,177,194
3.953496,-3.982761,7.143000,172,180,197
3.993408,-4.011755,7.195000,173,181,198
4.034038,-4.041306,7.248000,172,180,197
4.104970,-4.100967,7.355000,174,179,195
4.162801,-4.147246,7.438000,173,178,194
4.237725,-4.210252,7.551001,178,183,199
4.265728,-4.226422,7.580000,178,183,199
4.538247,-4.411537,7.912000,176,181,197
4.550487,-4.411537,7.912000,175,180,196
4.580605,-4.428822,7.943000,174,179,195
4.592893,-4.428822,7.943000,169,174,190
5.026371,-4.274931,7.667000,150,158,175
5.038233,-4.274931,7.667000,173,181,198
5.050094,-4.274931,7.667000,169,177,194
5.061955,-4.274931,7.667000,172,180,197
5.073817,-4.274931,7.667000,172,180,197
5.105578,-4.291658,7.697001,169,177,194
5.117486,-4.291658,7.697001,172,180,197
5.149386,-4.308385,7.727000,172,180,197
5.181379,-4.325113,7.757000,172,180,197
5.234220,-4.359125,7.818000,171,179,196
5.246315,-4.359125,7.818000,171,179,196
5.300111,-4.393694,7.880001,169,177,194
6.215323,-4.446664,7.975000,164,173,196
6.202672,-4.428822,7.943000,162,173,194
6.214961,-4.428822,7.943000,161,172,193
6.227249,-4.428822,7.943000,162,173,194
6.239537,-4.428822,7.943000,164,175,196
6.251826,-4.428822,7.943000,164,176,194
6.289351,-4.446664,7.975000,165,177,195
6.301688,-4.446664,7.975000,168,178,196
-0.979136,-0.604401,1.087000,96,79,79
-0.977454,-0.604401,1.087000,99,82,82
-0.976670,-0.604957,1.088000,98,81,81
-0.782023,-0.493751,0.888000,95,80,81
-0.780649,-0.493751,0.888000,95,80,81
-0.779276,-0.493751,0.888000,94,79,80
-0.777902,-0.493751,0.888000,94,79,80
-0.777403,-0.494307,0.889000,97,82,83
-0.776027,-0.494307,0.889000,101,86,87
-1.106283,-0.742851,1.336000,96,86,86
-1.105870,-0.743963,1.338000,93,83,83
-1.104625,-0.744519,1.339000,93,83,83
-1.104200,-0.745631,1.341000,93,83,83
-1.103769,-0.746743,1.343000,95,85,85
-1.103332,-0.747855,1.345000,94,84,84
-0.635237,-0.475402,0.855000,86,82,87
-0.633914,-0.475402,0.855000,83,81,88
-0.633332,-0.475959,0.856000,82,80,87
-0.388617,-0.307483,0.553000,42,54,70
-0.387762,-0.307483,0.553000,42,54,70
-0.386906,-0.307483,0.553000,43,55,71
-0.386749,-0.308039,0.554000,42,54,70
-0.386588,-0.308595,0.555000,44,56,72
-0.385730,-0.308595,0.555000,42,54,70
-0.257202,-0.431476,0.776000,57,49,46
-0.147849,-0.280793,0.505000,50,44,46
-0.147067,-0.280793,0.505000,47,41,43
-0.145996,-0.280237,0.504000,48,42,44
-0.145217,-0.280237,0.504000,45,39,41
-0.005893,-0.292470,0.526000,56,52,55
-0.005079,-0.292470,0.526000,55,51,54
-0.004265,-0.292470,0.526000,57,51,55
-0.003451,-0.292470,0.526000,57,51,55
-0.002638,-0.292470,0.526000,61,52,57
-0.001824,-0.292470,0.526000,63,54,59
-0.001010,-0.292470,0.526000,64,55,60
-0.000196,-0.292470,0.526000,60,51,56
0.000616,-0.291914,0.525000,64,55,60
0.001429,-0.291914,0.525000,67,58,63
0.002241,-0.291914,0.525000,70,61,68
0.003053,-0.291914,0.525000,70,61,68
0.003865,-0.291914,0.525000,70,61,68
0.054897,-0.413128,0.743000,185,187,195
0.055972,-0.412572,0.742000,186,185,194
0.057042,-0.412015,0.741000,185,184,193
0.058110,-0.411459,0.740000,176,175,184
0.059175,-0.410903,0.739000,166,165,174
0.060237,-0.410347,0.738000,161,160,169
0.061295,-0.409791,0.737000,160,159,168
0.062436,-0.409791,0.737000,160,159,168
0.063576,-0.409791,0.737000,161,160,169
0.064804,-0.410347,0.738000,162,161,170
1.338714,-3.887736,6.992000,188,190,198
1.349531,-3.887736,6.992000,187,189,197
1.360348,-3.887736,6.992000,186,188,196
1.371166,-3.887736,6.992000,188,190,198
1.377239,-3.874391,6.968000,187,189,197
1.383238,-3.861047,6.944000,187,189,197
1.388962,-3.847146,6.919000,187,189,197
1.389957,-3.820457,6.871000,187,189,197
1.386318,-3.781535,6.801000,187,189,197
1.387391,-3.755958,6.755000,187,189,197
1.383564,-3.717592,6.686000,187,189,197
1.384734,-3.693127,6.642000,188,190,198
1.385768,-3.668662,6.598001,188,190,198
1.386667,-3.644197,6.554000,190,192,200
1.392118,-3.631964,6.532001,190,192,200
1.402223,-3.631964,6.532001,190,192,200
1.412328,-3.631964,6.532001,188,190,198
1.422434,-3.631964,6.532001,190,192,200
1.437364,-3.644197,6.554000,192,194,202
2.028521,-3.705359,6.664001,194,193,204
2.045562,-3.717592,6.686000,195,194,205
2.062978,-3.730380,6.709000,195,194,205
2.073357,-3.730380,6.709000,197,196,207
2.083736,-3.730380,6.709000,194,196,206
2.094115,-3.730380,6.709000,191,193,203
2.104495,-3.730380,6.709000,194,196,206
2.107624,-3.717592,6.686000,195,197,207
2.117968,-3.717592,6.686000,195,197,207
2.121308,-3.705359,6.664001,194,196,206
2.124581,-3.693127,6.642000,194,196,206
2.120714,-3.668662,6.598001,194,196,206
2.123816,-3.656429,6.576000,194,195,208
2.126851,-3.644197,6.554000,194,195,208
2.122970,-3.620287,6.511000,193,197,209
